实体名称,中文名,公司名称,外文名,别名,地址,总部,总部地点,成员国,成立时间,正式成立,组织机构,现任总领事,上级机构,隶属,所属地区,类型,所有者,所属公司,所属联盟,首席主编,主要产品,语种,类别,主办单位,编辑单位,创刊时间,国外发行代号,官网,主要奖项,知名校友,创办时间,创办人,创始人,办学性质,主管部门,硕士点,博士点,现任校长,董事长,主要院系,类型,所属行业,法定代表人,经营范围,公司类型,公司口号,著名产品
奥巴马,贝拉克·侯赛因·奥巴马,,Barack Hussein Obama,巴拉克·欧巴马;奥巴马(简称),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 彭博新闻社,彭博新闻社,,Bloomberg News,,,,,,1981年,,,,,,,,,,,,,,,,,,,http://www.bloomberg.com,,,,,,,,,,,,,,,,,,,
唱片公司,唱片公司,,record company; label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美国有线电视新闻网,美国有线电视新闻网,,有线新闻网,,,,,,,,,,,,,,,,,,,,,,,,,http://edition.cnn.com/,,,,,特德·特纳,,,,,,,,,,,,,,
彭博新闻社,彭博新闻社,,Bloomberg News,,,,,,1981年,,,,,,,,,,,,,,,,,,,http://www.bloomberg.com,,,,,,,,,,,,,,,,,,,
美国国防部,美国国防部,,United States Department of Defense,,,美国华盛顿,,,1947年9月,,,,,,,,,,,,,,,,,,,http://www.defense.gov/,,,,,,,,,,,,,,,,,,,
美国商务部,美国商务部,,United States Department of Commerce,,,华盛顿宪法大道胡佛大楼1401号,,,1903年2月14日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美国民主党,民主党,,Democratic Party(US),,,华盛顿哥伦比亚特区,,,,,,,,,,,,,,,,,,,,,,,,,,,安德鲁·杰克逊,,,,,,,,,,,,,,
美国全国广播公司,美国全国广播公司,,NBC,,,,,,,,,,,,,,,,,,,,,,,,,http://www.nbc.com/,,,,,,,,,,,,,,,,,,,
美国劳工部,美国劳工部,,United States Department of Labor,,华盛顿特区宪法大道200号,,,,1913年3月4日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美国共和党,美国共和党,,Republican Party (US)/GOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
联邦调查局,美国联邦调查局,,FBl,,,美国弗吉尼亚州,,,1935年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
纽约时报,,,,,,,,,,,,,,,,,,,,,,,时事,,,,,https://www.nytsyn.com/,,,,,,,,,,,,,,,,,,,
四国联盟,四国联盟,,G4 Nations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
通航,通航,,Air Or Sea Navigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海军,海军,,navy,,,,,,,,,,,,,,,,,,,,军事组织,,,,,,,,,,,,,,,,,,,,,,,,
美国海军,美国海军,,United States Navy,,,,,,,,,,,,,,,,,,,,,,,,,http://www.navy.mil/,,,,,,,,,,,,,,,,,,,
乔治·华盛顿大学,乔治·华盛顿大学,,George Washington University,,美国华盛顿哥伦比亚特区雾谷,,,,,,,,,,,,,,,,,,,,,,,,诺贝尔奖普利策奖,"鲍威尔,杜勒斯,胡佛,约翰·斯诺,杰奎琳·肯尼迪,李承晚,李健熙,张亚勤等",1821年,,,私立大学,,,,,,,,,,,,,
美国在台协会,美国在台协会,,American Institute in Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
白俄罗斯通讯社,白俄罗斯通讯社,,,,,,,,1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
俄罗斯外交部,俄罗斯联邦外交部,,Министерство иностранных дел Российской Федерации,,,,,,,,,,,,,,,,,,,,俄罗斯联邦政府组成部门之一,,,,,,,,,,,,,,,,,,,,,,,,
华盛顿邮报,,,,,,美国华盛顿哥伦比亚特区,,,,,,,,,,,,,,,,,,,,1877年,,www.washingtonpost.com,,,,,,,,,,,,,,,,,,,
华尔街日报,,,,,,美国纽约美洲大道1211号,,,,,,,,,,,道琼斯公司(由新闻集团拥有),,,罗伯特·汤姆森 Robert Thomson,,,实事,,,1889年7月8日,,http://wsj.com/,,,,,,,,,,,,,,,,,,,
