21---武汉: 0.0794, 病毒: 0.0701, 实验室: 0.0587, 蝙蝠: 0.0564, 中国: 0.0351, 研究所: 0.0343, 证据: 0.0318, 泄露: 0.0289, 新冠: 0.0286, 疫情: 0.0278, 研究: 0.027, 动物: 0.0218, 科学家: 0.019, 起源: 0.0182, 传播: 0.0143, 肺炎: 0.0142, 市场: 0.0134, 感染: 0.0129, 生物: 0.0125, 患者: 0.0122
24---救济: 0.0992, 悬崖: 0.091, 失业: 0.0785, 申请: 0.0537, 救助: 0.048, 贷款: 0.0441, 风险: 0.0439, 下降: 0.0429, 人数: 0.0414, 失业率: 0.0357, 资金: 0.0353, 就业: 0.0343, 参议院: 0.0334, 支持: 0.0299, 法案: 0.0293, 劳动力: 0.0273, 数据: 0.0208, 计划: 0.0206, 市场: 0.0177, 措施: 0.0175
58---警方: 0.2153, 发生: 0.037, 报道: 0.0369, 男子: 0.0367, 开枪: 0.0234, 高空: 0.0233, 嫌犯: 0.0229, 现场: 0.0216, 司机: 0.018, 冲绳县: 0.0175, 警察: 0.0162, 冲绳: 0.0148, 受伤: 0.0145, 枪手: 0.0143, 被捕: 0.0127, 日本: 0.0122, 民众: 0.0119, 肇事: 0.0115, 交火: 0.0114, 美国: 0.0113
15---警棍: 0.0719, 州际公路: 0.0692, 催泪瓦斯: 0.0687, 橡皮: 0.0687, 波特兰: 0.0608, 示威: 0.0596, 子弹: 0.0504, 人群: 0.0455, 武器: 0.0424, 逮捕: 0.0402, 联邦: 0.0395, 大楼: 0.0308, 抗议者: 0.0255, 民众: 0.0252, 活动: 0.0224, 警察: 0.0204, 男子: 0.0204, 发射: 0.0202, 示威者: 0.0176, 执法: 0.0162
48---卫生统计: 0.0805, 晶晶: 0.0707, 模型: 0.0572, 汇编: 0.0511, 预测: 0.0465, 预防: 0.0422, 发布: 0.0394, 整体: 0.039, 评估: 0.0384, 中心: 0.0369, 控制: 0.0337, 已有: 0.0303, 累计: 0.0281, 儿童: 0.0274, 超过: 0.0274, 显示: 0.0269, 年龄: 0.0239, 数据: 0.0217, 记者: 0.0203, 新冠: 0.0199
43---选民: 0.1019, 竞选: 0.0741, 候选人: 0.0598, 投票: 0.0482, 筹集: 0.041, 大选: 0.0394, 资金: 0.0381, 总统: 0.036, 选举: 0.0295, 参选人: 0.0281, 辩论: 0.024, 提名: 0.0208, 初选: 0.0201, 投票站: 0.0199, 民调: 0.0197, 席位: 0.0185, 组织: 0.0167, 美国: 0.0163, 支持: 0.0161, 人口: 0.016
52---警察: 0.0903, 执法: 0.0738, 费城: 0.0362, 枪杀: 0.0301, 暴力: 0.0295, 宵禁: 0.0293, 黑人: 0.0291, 商家: 0.0288, 抢劫: 0.0266, 寻求: 0.0261, 引发: 0.0259, 维护: 0.0256, 警方: 0.0252, 美国黑人: 0.0249, 事件: 0.0243, 开枪: 0.0209, 被捕: 0.0207, 男子: 0.0158, 活动: 0.0157, 武力: 0.0152
27---感染: 0.065, 埃丹: 0.0444, 生离死别: 0.0444, 握住: 0.0444, 健康状况: 0.0435, 姐姐: 0.0409, 弟弟: 0.039, 遭遇: 0.0375, 父亲: 0.0361, 病毒: 0.034, 家庭: 0.0315, 发生: 0.0306, 孩子: 0.0298, 病房: 0.0293, 家人: 0.0281, 新冠: 0.02, 内华达州: 0.0191, 咳嗽: 0.0144, 钻石: 0.0135, 肺炎: 0.0124
63---新增: 0.1433, 病例: 0.0627, 转化: 0.0311, 快速增长: 0.0306, 单日: 0.029, 确诊: 0.024, 医学: 0.0238, 教授: 0.0221, 趋势: 0.0217, 疫情: 0.0207, 死亡: 0.0175, 人数: 0.0172, 美国: 0.0168, 暴发: 0.0167, 采访: 0.016, 新冠: 0.015, 例新: 0.0148, 路易斯安那州: 0.0128, 呈上升: 0.0126, 医院: 0.0122
19---参议院: 0.08, 大法官: 0.0758, 提名: 0.0699, 委员会: 0.0347, 司法: 0.0336, 法官: 0.0327, 任命: 0.0315, 确认: 0.03, 保守: 0.0258, 投票: 0.0254, 人选: 0.0196, 法案: 0.0182, 裁决: 0.018, 听证会: 0.0169, 总统: 0.0158, 立场: 0.0153, 倾向: 0.015, 职位: 0.0129, 担任: 0.0128, 弹劾: 0.0126
